	sub	ses	task	run	desc	regressors	space	meanFD	relMeansRMSMotion	relMaxRMSMotion	meanDVInit	meanDVFinal	nVolCensored	nVolsRemoved	motionDVCorrInit	motionDVCorrFinal	coregDice	coregJaccard	coregCrossCorr	coregCoverage	normDice	normJaccard	normCrossCorr	normCoverage	medianFD	motionExclude	normCrossCorrExclude	fmriExclude
406	21024	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0505934759550561	0.559490727914293	1.0492127766449473	30.944495988700567	30.944495988700567	0	2	-0.1005234200035271	-0.1005234200035271	0.9142261991046148	0.8420042907193901	0.9042250271021663	0.9597871217452498	0.9264629791457027	0.8630004938334068	0.9035738107854888	0.9589146506006034	0.0438908	0	0	0
407	21024	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0386380137078651	0.177672189094753	0.4315717249487621	29.73173133333333	29.73173133333333	0	2	0.2436921968698367	0.2436921968698367	0.9083421498509882	0.8320758649122516	0.8973479767079432	0.959837884731968	0.924768585365576	0.8600647012159658	0.9018643994955652	0.9630435091777912	0.034288	0	0	0
408	20927	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0898581230337078	0.1673864208076996	0.6826876456202793	32.54916343502825	32.54916343502825	0	2	0.7611624836505052	0.7611624836505052	0.9244263595810118	0.8594728662380596	0.9143547440397491	0.9740344181501304	0.936187841627346	0.880031154240107	0.916541420645589	0.9699841567891092	0.0518376	0	0	0
409	10710	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.2356728702247191	0.8579431311255771	4.602493854640112	121.87629500564972	121.87629500564972	0	2	0.83592729356798	0.83592729356798	0.929457189827488	0.8682111364399442	0.9176171768886654	0.9474318340119914	0.9381167305671164	0.8834461918475589	0.9173202756585892	0.9430146652215268	0.0766527	0	0	0
410	10710	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.2982258	0.9181873303729816	3.476210922561518	108.86838460451978	108.86838460451978	0	2	0.7982853668962597	0.7982853668962597	0.9261560761970058	0.8624680511456868	0.9146449111698872	0.9380330528297538	0.9368538442327236	0.881208890377441	0.915591645279338	0.9406755253644778	0.166316	0	0	0
411	20291	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.2774699	1.6212626304882365	6.428338909630363	55.29642619774011	55.29642619774011	0	2	0.7791234648912357	0.7791234648912357	0.8930272623151142	0.8067292282037447	0.8786697763078004	0.9654889028940352	0.9030025349196178	0.8231582694253997	0.8761126505079837	0.9657060727089596	0.101706	0	0	0
412	20974	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.7807027752808987	1.9884925066333377	4.385180318504919	109.95418201694916	109.95418201694916	0	2	0.7017922231977735	0.7017922231977735	0.8913880910429388	0.8040578347038704	0.88065264048707	0.974711395839455	0.9011180030021512	0.8200316371221025	0.8749752603339479	0.9732822682643124	0.520589	1	0	1
413	10990	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.1438809617977528	0.3090036288396894	2.3553965280071205	77.72450933333334	77.72450933333334	0	2	0.828433972484926	0.828433972484926	0.928393400813916	0.8663565542793944	0.9174654711294497	0.9775461087336572	0.9373507065245912	0.8820884860883622	0.9182329223433132	0.9729905919044208	0.0664083	0	0	0
414	10990	2	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.1304466814606741	1.1966479960233043	2.865113841837005	76.20204464406778	76.20204464406778	0	2	0.7623047916680936	0.7623047916680936	0.9256867978447662	0.8616544932964607	0.9155931311875526	0.9653326286009428	0.9347363091845358	0.8774694164869082	0.9139056490993142	0.9592895324992512	0.0631099	0	0	0
415	10637	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.0286677337078651	0.0987306026181081	0.1679565002449443	77.50762733898306	77.50762733898306	0	2	0.0494863330104083	0.0494863330104083	0.926652605328845	0.8633296264838344	0.9160028155061474	0.982007211059614	0.9415284160611794	0.8895169509960124	0.9235238673412832	0.974375667422298	0.0260711	0	0	0
416	10814	1	rest	1	preproc	template_res-derivative_36-parameter	MNI152	0.2460834691011236	0.5874834355886694	1.5685558445320205	116.7122714237288	116.7122714237288	0	2	0.7939307752180741	0.7939307752180741	0.9388222404435044	0.884698375921365	0.9296929917778244	0.9762709466086134	0.9504644368896304	0.9056047934887168	0.9344483740617916	0.9696483149086969	0.0860951	0	0	0
